23
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
6
7
7
0,1
0,13
1,0
1,2
2,1
2,3
2,11
3,2
3,4
4,3
4,5
5,4
5,6
5,10
6,5
6,7
6,20
7,6
7,8
8,7
8,9
9,8
9,10
9,15
10,5
10,9
10,11
11,2
11,10
11,12
12,11
12,13
12,14
13,0
13,12
14,12
14,15
14,19
15,9
15,14
15,16
16,15
16,17
17,16
17,18
18,17
18,19
19,14
19,18
20,6
20,21
20,22
21,20
22,20
stop
26
3
3
3
3
3
3
3
7
3
3
3
3
3
3
6
7
7
6
7
7
6
7
7
6
7
7
0,1
0,5
1,0
1,2
1,23
2,1
2,3
3,2
3,4
3,20
4,3
4,5
4,9
5,0
5,4
5,6
6,5
6,7
6,8
7,6
8,6
8,9
8,13
9,4
9,8
9,10
10,9
10,11
10,17
11,10
11,12
12,11
12,13
12,14
13,8
13,12
14,12
14,15
14,16
15,14
16,14
17,10
17,18
17,19
18,17
19,17
20,3
20,21
20,22
21,20
22,20
23,1
23,24
23,25
24,23
25,23
stop
19
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
6
7
7
0,1
0,13
1,0
1,2
2,1
2,3
2,11
3,2
3,4
4,3
4,5
5,4
5,6
5,10
6,5
6,7
7,6
7,8
7,16
8,7
8,9
9,8
9,10
9,15
10,5
10,9
10,11
11,2
11,10
11,12
12,11
12,13
12,14
13,0
13,12
14,12
14,15
15,9
15,14
16,7
16,17
16,18
17,16
18,16
stop
23
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
6
7
7
0,1
0,13
1,0
1,2
2,1
2,3
2,11
3,2
3,4
4,3
4,5
5,4
5,6
5,10
6,5
6,7
7,6
7,8
8,7
8,9
8,20
9,8
9,10
9,15
10,5
10,9
10,11
11,2
11,10
11,12
12,11
12,13
12,14
13,0
13,12
14,12
14,15
14,19
15,9
15,14
15,16
16,15
16,17
17,16
17,18
18,17
18,19
19,14
19,18
20,8
20,21
20,22
21,20
22,20
stop
17
3
3
3
3
3
3
3
3
3
6
3
3
6
3
6
7
7
0,1
0,13
1,0
1,2
2,1
2,3
2,11
3,2
3,4
4,3
4,5
4,14
5,4
5,6
5,10
6,5
6,7
7,6
7,8
8,7
8,9
9,8
9,10
10,5
10,9
10,11
11,2
11,10
11,12
12,11
12,13
13,0
13,12
14,4
14,15
14,16
15,14
16,14
stop
20
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
7
6
7
7
0,1
0,13
1,0
1,2
2,1
2,3
2,11
3,2
3,4
4,3
4,5
5,4
5,6
5,10
6,5
6,7
7,6
7,8
8,7
8,9
8,17
9,8
9,10
9,15
10,5
10,9
10,11
11,2
11,10
11,12
12,11
12,13
12,14
13,0
13,12
14,12
14,15
15,9
15,14
15,16
16,15
17,8
17,18
17,19
18,17
19,17
stop
25
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
6
7
7
6
7
7
6
7
7
0,1
0,5
1,0
1,2
2,1
2,3
3,2
3,4
3,12
4,3
4,5
4,6
5,0
5,4
6,4
6,7
6,11
7,6
7,8
8,7
8,9
8,22
9,8
9,10
10,9
10,11
10,15
11,6
11,10
11,12
12,3
12,11
12,13
13,12
13,14
14,13
14,15
14,19
15,10
15,14
15,16
16,15
16,17
16,18
17,16
18,16
19,14
19,20
19,21
20,19
21,19
22,8
22,23
22,24
23,22
24,22
stop
19
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
6
7
7
0,1
0,5
1,0
1,2
2,1
2,3
3,2
3,4
3,12
4,3
4,5
4,6
5,0
5,4
6,4
6,7
6,11
7,6
7,8
8,7
8,9
9,8
9,10
10,9
10,11
10,15
11,6
11,10
11,12
12,3
12,11
12,13
13,12
13,14
14,13
14,15
15,10
15,14
15,16
16,15
16,17
16,18
17,16
18,16
stop
28
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
6
7
7
6
7
7
0,1
0,13
1,0
1,2
2,1
2,3
2,11
3,2
3,4
4,3
4,5
5,4
5,6
5,10
6,5
6,7
6,25
7,6
7,8
8,7
8,9
9,8
9,10
9,18
10,5
10,9
10,11
11,2
11,10
11,12
12,11
12,13
12,17
13,0
13,12
13,14
14,13
14,15
15,14
15,16
16,15
16,17
16,21
17,12
17,16
17,18
18,9
18,17
18,19
19,18
19,20
20,19
20,21
21,16
21,20
21,22
22,21
22,23
22,24
23,22
24,22
25,6
25,26
25,27
26,25
27,25
stop
17
3
3
3
3
3
3
3
3
3
3
3
3
3
3
6
7
7
0,1
1,0
1,2
1,6
2,1
2,3
3,2
3,4
4,3
4,5
4,9
5,4
5,6
5,7
6,1
6,5
7,5
7,8
8,7
8,9
8,13
9,4
9,8
9,10
10,9
10,11
11,10
11,12
12,11
12,13
12,14
13,8
13,12
14,12
14,15
14,16
15,14
16,14
stop
15
3
3
3
3
3
3
3
3
3
3
3
3
6
7
7
0,1
0,9
1,0
1,2
2,1
